simulation,total_cost,build_cost,inservice_cost
162,4905800.5574442195,4752519.022454673,153281.53498954736
163,3664240.800415557,3518519.8338976596,145720.96651789715
164,4617225.553206468,4484898.325248751,132327.2279577187
165,4094148.7131487606,3944836.3716869457,149312.34146181494
166,4904960.024240311,4738813.222395939,166146.80184437404
167,5406991.14712652,5246442.502979742,160548.64414677766
168,3703149.5407490693,3565871.5435438845,137277.9972051854
169,3572847.819941922,3439657.596539788,133190.22340213397
170,3636922.733726386,3482898.3341589365,154024.39956744984
171,3667794.848647669,3529849.5873720534,137945.26127561534
172,3956956.928586418,3803043.2804320534,153913.64815436472
173,4340984.737233978,4181924.6308617825,159060.10637219454
174,4154229.939101265,4014762.3023331477,139467.63676811688
175,4502746.085680034,4346053.269453359,156692.8162266747
176,4036903.9119311506,3893713.583040435,143190.3288907156
177,5325547.852024071,5166617.690557336,158930.1614667345
178,3893374.5190302483,3741206.8419688605,152167.67706138728
179,5591366.4523056485,5414809.672219784,176556.7800858632
180,4216630.628372359,4081044.900717871,135585.7276544888
181,3436720.3691700436,3294761.9698024546,141958.3993675891
182,3518384.526856413,3388591.7582818195,129792.76857459446
183,4522115.562935835,4368351.838090961,153763.7248448755
184,3779834.3361559957,3649595.5136585073,130238.82249748895
185,4868881.897207968,4700268.530970049,168613.36623791885
186,4342801.610682807,4208004.234917623,134797.37576518435
187,3849543.3061550283,3715146.2906487063,134397.01550632235
188,3353051.687521238,3218110.996181564,134940.69133967377
189,3415989.462452003,3272444.445352653,143545.01709935023
190,3672207.6310476833,3542171.384328536,130036.24671914727
191,4589603.470095478,4434187.332655176,155416.13744030148
192,4191401.580528321,4023533.5792251388,167868.00130318236
193,3360287.6114878473,3235495.204426374,124792.40706147383
194,4138448.3060816405,3986253.655191388,152194.65089025302
195,4293584.041178461,4135480.61527845,158103.42590001028
196,3387823.3720254223,3242588.6641342854,145234.70789113687
197,4375586.00290233,4214747.66746739,160838.3354349396
198,4246702.268997761,4100247.247410419,146455.02158734357
199,3387086.9573050924,3254899.2985529946,132187.65875209795
200,3991251.233162079,3841751.3949531573,149499.83820892073
201,4396516.5194529835,4240349.846687464,156166.6727655201
202,4753410.4291385375,4596999.691840694,156410.73729784339
203,4680438.769962997,4512691.7611950645,167747.00876793283
204,3289420.5423065275,3161449.642975084,127970.89933144403
205,3631507.8264863202,3481921.9574947837,149585.8689915365
206,4597047.103913687,4432247.604947918,164799.49896576954
207,4373987.647433439,4239886.117346677,134101.53008676195
208,4243470.803684378,4097639.4282867373,145831.37539764072
209,5602766.459110684,5424820.314073687,177946.1450369968
210,4416316.921379472,4257141.698522433,159175.22285703948
211,4733468.453485046,4582115.824121539,151352.62936350727
212,4880967.083185751,4716270.94321649,164696.1399692612
213,4375929.3325960385,4226701.032836281,149228.29975975823
214,3838540.725318256,3710897.092881112,127643.63243714397
215,4313943.192350746,4181648.9029147066,132294.28943603905
216,3906269.7446160037,3758814.012609685,147455.73200631962
217,3923604.1869951757,3803121.288773729,120482.89822144662
218,3784490.2884792294,3641710.76959603,142779.51888319978
219,4257140.944499459,4105605.220852268,151535.7236471915
220,5473616.932503926,5291851.981062849,181764.95144107784
221,3065309.3453385024,2953376.1010405086,111933.24429799433
222,4263452.069152686,4126741.198142993,136710.8710096931
223,2978558.657164566,2847162.7939229445,131395.8632416216
224,3521988.26945759,3377471.308108658,144516.96134893107
225,4830037.196608448,4662453.343090651,167583.8535177975
226,4024521.2461054707,3887864.7806173447,136656.465488126
227,3558609.718605842,3422080.6872739336,136529.03133190895
228,3505103.938678662,3377555.84659515,127548.09208351109
229,4567904.535763379,4415875.376316567,152029.15944681282
230,3549693.356161921,3409614.534896957,140078.82126496328
231,4003657.8772796392,3859646.281523685,144011.59575595506
232,4107083.1323383423,3975353.5313341008,131729.60100424165
233,3287738.561296464,3171566.9908036077,116171.57049285596
234,5213798.249008768,5059320.136755651,154478.1122531178
235,4370980.149089806,4222812.757813171,148167.3912766365
236,3167984.578866406,3044094.593605655,123889.9852607514
237,4054860.277421124,3902509.6483700285,152350.62905109552
238,3513163.8184107337,3401530.874379826,111632.94403090837
239,4851266.389126188,4692332.897127188,158933.4919989999
240,3460639.625247164,3321637.683994351,139001.9412528137
241,3848225.973593582,3712891.1225141753,135334.85107940686
242,4253171.057672653,4119204.615575937,133966.4420967162
243,4816693.838271144,4655974.91980352,160718.918467624
244,3514831.516775651,3370001.990301423,144829.52647422758
245,3735134.1133794114,3611453.959179289,123680.15420012215
246,3489300.729245179,3365578.720445822,123722.00879935695
247,3814228.232369126,3668644.801139198,145583.43122992804
248,5278299.670623433,5100180.619656031,178119.05096740165
249,4075856.782771154,3936863.0023170724,138993.78045408198
250,3035044.601592788,2919898.7007447626,115145.9008480251
251,4815443.493259687,4640238.645892346,175204.84736734114
252,5225506.671701128,5056677.485390739,168829.18631038937
253,4935211.50898595,4787151.723728634,148059.78525731416
254,3022949.9410973648,2896307.0368922115,126642.90420515349
255,3578815.5184539426,3460442.5305903847,118372.98786355786
256,4977707.521237047,4812722.554174313,164984.96706273482
257,3453781.773221622,3312144.494137512,141637.27908410956
258,3989037.1879122313,3849766.9007668295,139270.28714540126
259,4580566.596254892,4429726.094081751,150840.5021731407
260,3335828.1458547167,3209598.928386143,126229.21746857413
261,4037645.3606342026,3889180.844640222,148464.51599398104
262,2679753.7958795084,2555536.337582683,124217.45829682563
263,3398784.334485052,3266760.1855832334,132024.14890181823
264,4125908.8008800936,3980334.9284073464,145573.8724727469
265,3222567.93551486,3087614.2752787923,134953.6602360669
266,5001827.870781582,4843082.423688493,158745.44709308931
267,2975948.780642091,2856660.4295173544,119288.35112473682
268,3675463.9708041353,3539909.1003399338,135554.87046420143
269,4196324.601927985,4054770.2788894256,141554.32303855987
270,4894632.127713964,4742383.312234454,152248.81547951075
271,3171043.697197938,3049555.9088791604,121487.78831877705
272,4959308.443816945,4790754.97090704,168553.47290990577
273,3909283.2317207847,3765448.678609062,143834.55311172295
274,3373376.2082015914,3253354.1410077936,120022.06719379738
275,4372709.064357831,4215004.480491478,157704.58386635262
276,4166151.1798129994,4008613.101009861,157538.07880313857
277,3593044.429691921,3456282.0446978197,136762.3849941012
278,3960210.6234306786,3815095.755448094,145114.86798258408
279,3897875.066071218,3751907.46731351,145967.59875770775
280,4056184.1618681853,3919913.754270111,136270.40759807473
281,4713850.901828642,4568682.011746541,145168.89008210175
282,5294095.626290093,5122972.306956777,171123.31933331568
283,3366668.428456141,3236592.154119052,130076.27433708883
284,5373343.238332048,5197457.84260984,175885.39572220773
285,2761844.5859150873,2640642.0959288194,121202.48998626819
286,3780124.163691773,3642498.998497034,137625.1651947394
287,4324822.254444113,4177091.6689969366,147730.5854471756
288,4080480.6452301936,3947972.1289989366,132508.51623125613
289,3552960.0101866433,3422240.9474794487,130719.06270719461
290,3869264.957571336,3742827.0176848173,126437.9398865175
291,3626978.720405495,3488961.276775985,138017.44362950925
292,3726525.758049001,3597943.212292307,128582.54575669357
293,4538850.638512471,4388824.032116468,150026.6063960021
294,4277591.379004242,4133146.129769301,144445.2492349411
295,3586312.8917245,3458119.3570457655,128193.53467873405
296,4460403.576186316,4318750.694194387,141652.88199193025
297,4550784.195730446,4385109.518053661,165674.67767678626
298,4823428.3276097495,4653310.734021398,170117.5935883506
299,4316406.2224112945,4156512.013073585,159894.20933770968
300,3646680.5490438696,3496205.8330307803,150474.71601308996
301,3570859.8972357376,3439414.600749767,131445.29648597044
302,4964343.912911208,4791089.528485628,173254.3844255798
303,4299060.381613403,4153997.9160189135,145062.46559448825
304,3910329.1891406137,3763859.3598453025,146469.8292953114
305,4018666.1338512925,3879838.9091844647,138827.2246668276
306,4965909.71193463,4813862.930211993,152046.78172263684
307,3688707.3314334885,3539230.0515047973,149477.27992869183
308,4326272.033619728,4176059.005035265,150213.02858446323
309,4113003.1052417224,3960023.4276489974,152979.67759272456
310,3752808.0345553756,3615945.2580469484,136862.77650842626
311,4666056.04918085,4525954.454248646,140101.59493220394
312,4456224.660461301,4309207.900446587,147016.7600147137
313,4837225.954013066,4675868.205210998,161357.74880206707
314,4878176.301198151,4727636.407114373,150539.89408377733
315,3973398.5386316995,3829303.7398005873,144094.79883111274
