simulation,phase1_end,phase2_end,phase3_end,phase4_end,project_end
83,6.525465606548699,13.505576126104799,37.181049022891116,37.181049022891116,37.181049022891116
84,6.000326459004547,13.022905424462294,37.37408275063573,37.37408275063573,37.37408275063573
85,6.403260232044751,12.942253157925615,36.598887008744896,36.598887008744896,36.598887008744896
86,6.818990909098034,14.187353512638593,37.08624497856808,37.08624497856808,37.08624497856808
87,5.296490953255208,14.082757150766682,37.01650609859344,37.01650609859344,37.01650609859344
88,6.825299944626947,16.441014451441333,37.12877163741338,37.12877163741338,37.12877163741338
89,6.8070379247275925,14.44331694535828,37.66747932372204,37.66747932372204,37.66747932372204
90,6.555588329899883,13.447029170319746,36.7077957063819,36.7077957063819,36.7077957063819
91,5.918121807619961,14.291121547940255,37.35271908432832,37.35271908432832,37.35271908432832
92,8.10342883008667,13.064055529313698,37.00718766562689,37.00718766562689,37.00718766562689
93,8.067201458607435,13.304604859416692,37.09790485304932,37.09790485304932,37.09790485304932
94,6.520728971054384,13.873229252354541,37.58939538801924,37.58939538801924,37.58939538801924
95,6.357242040040655,13.714892808539618,37.79650788602855,37.79650788602855,37.79650788602855
96,6.989173039890731,14.105632315003625,37.276194582685676,37.276194582685676,37.276194582685676
97,5.9889805928738085,14.134431096591772,36.69019457828388,36.69019457828388,36.69019457828388
98,5.472083563228329,14.076526941175496,37.120463600416215,37.120463600416215,37.120463600416215
99,6.427068595949004,13.40419172539988,37.62120094989275,37.62120094989275,37.62120094989275
100,5.87520477513875,13.625940700023419,36.981511653891864,36.981511653891864,36.981511653891864
101,6.8154419765946646,12.817191088664163,36.88109571091924,36.88109571091924,36.88109571091924
102,7.031054382368423,14.49491779080035,38.12341085864785,38.12341085864785,38.12341085864785
103,5.7820216321593225,16.154009868779376,37.56272072734827,37.56272072734827,37.56272072734827
104,7.554958121991292,14.407892218770382,37.40234844988629,37.40234844988629,37.40234844988629
105,7.418687365647626,13.812957276511302,36.616928348486404,36.616928348486404,36.616928348486404
106,5.3726864133591885,13.626951663614413,36.6254736043543,36.6254736043543,36.6254736043543
107,7.286775703087472,15.408712460505152,37.04927178613217,37.04927178613217,37.04927178613217
108,7.255524482341746,13.781385866141633,37.06176967515262,37.06176967515262,37.06176967515262
109,6.3764087544923305,14.473506001371124,36.82912812667955,36.82912812667955,36.82912812667955
110,6.864935985438163,13.705492765324678,37.07634490142055,37.07634490142055,37.07634490142055
111,6.574264579620291,14.476842189770267,37.08441604026882,37.08441604026882,37.08441604026882
112,7.249157536929909,14.157258200126442,37.36403505317251,37.36403505317251,37.36403505317251
113,5.723704978298405,15.745192724732759,36.34772920396555,36.34772920396555,36.34772920396555
114,6.958486600179909,12.954993898291791,36.41114935353324,36.41114935353324,36.41114935353324
115,6.182757439528209,13.974661910603661,37.94780048566108,37.94780048566108,37.94780048566108
116,7.3781025692022295,15.583819028323772,37.16777445491925,37.16777445491925,37.16777445491925
117,6.626244795642436,14.977940066222574,36.899696984237565,36.899696984237565,36.899696984237565
118,7.924236628861565,15.243702483766688,36.644560336084226,36.644560336084226,36.644560336084226
119,8.01954469201134,14.041658151427942,36.58968320885982,36.58968320885982,36.58968320885982
120,6.454901140581237,13.411378671065975,36.231131852044676,36.231131852044676,36.231131852044676
121,6.892511088688697,15.130479042725026,36.40477935913113,36.40477935913113,36.40477935913113
122,5.806769651847263,14.506257882066485,37.479735531603374,37.479735531603374,37.479735531603374
123,6.177595779735713,15.012905467629222,37.39193173613822,37.39193173613822,37.39193173613822
124,6.67223886526166,14.559530709965141,36.978020562125145,36.978020562125145,36.978020562125145
125,5.633514861258376,15.695712615834935,37.03817498292686,37.03817498292686,37.03817498292686
126,6.017413242167654,13.104272548835471,36.821186175860205,36.821186175860205,36.821186175860205
127,7.745500177701529,13.337711656505114,37.96376136561623,37.96376136561623,37.96376136561623
128,5.561882267430114,14.851377894795332,36.58889408240717,36.58889408240717,36.58889408240717
129,7.37818093556165,13.808339083388043,37.40255570596044,37.40255570596044,37.40255570596044
130,6.636219888069506,16.33744087568969,36.475059609727296,36.475059609727296,36.475059609727296
131,6.325469758275663,14.435430750735645,36.825045847135506,36.825045847135506,36.825045847135506
132,6.045873857760587,14.448428145724892,36.979812566701646,36.979812566701646,36.979812566701646
133,7.1023915022194535,13.674642138995686,37.04806946071258,37.04806946071258,37.04806946071258
134,6.517605533789069,13.572146254961567,37.569928217760584,37.569928217760584,37.569928217760584
135,6.88090244882634,13.211741744942838,37.06558090796977,37.06558090796977,37.06558090796977
136,6.22636309533411,13.171154078662802,37.68569009761688,37.68569009761688,37.68569009761688
137,6.753121980622131,13.856247961072526,37.009039557631525,37.009039557631525,37.009039557631525
138,7.529950409983952,14.467932614055956,37.83240539511997,37.83240539511997,37.83240539511997
139,7.041797286321303,13.485242499394387,37.509146685334436,37.509146685334436,37.509146685334436
140,6.929164016700068,14.23130697970044,36.96641976843755,36.96641976843755,36.96641976843755
141,6.529952457637372,13.513478246112516,37.32014718307399,37.32014718307399,37.32014718307399
142,7.521824881719902,13.94543985607212,37.78250606917349,37.78250606917349,37.78250606917349
143,5.705720368433352,13.420450263696882,36.320574600582745,36.320574600582745,36.320574600582745
144,6.130856730624598,14.929351448909552,36.523859475078176,36.523859475078176,36.523859475078176
145,6.856354250152301,14.062686504389367,37.66830502508136,37.66830502508136,37.66830502508136
